ticker,name,sector,score,classification,roic,revenue_cagr_3yr,gross_margin,operating_margin,net_debt_to_ebitda,fcf_margin,dcf_upside_pct,current_price,dcf_intrinsic_value,shares_outstanding,red_flag_count,bottom_line,run_date
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,64.5,Neutral — Monitor,0.2310708164014474,-0.038458186348783285,0.334758825301903,0.11766682891778504,3.5045717035611164,0.08867023619127089,-0.17723803543325817,214.36,176.3672547245268,561000000.0,0,Neutral — Monitor / DCF: overvalued,2026-05-31
LULU,lululemon athletica inc.,Consumer Cyclical,80.3,Elite Compounder,0.31458881624889123,0.11034694078962404,0.566005440167168,0.19910786662583538,-0.0032366118020143763,0.08301433898366148,2.801703844790403,131.18,498.70751035960507,109318984.0,1,Elite Compounder / DCF: undervalued,2026-05-31
LYB,LyondellBasell Industries NV,Basic Materials,12.5,Disqualified,-0.008738106249967521,-0.15766098558982566,0.0854641329220973,0.02755944682121182,9.631669535283994,0.012735051238682718,-0.9317309009888066,66.65,4.550135449096038,322784773.0,8,Disqualified / DCF: overvalued,2026-05-31
MPC,Marathon Petroleum Corporation,Energy,48.2,Fails Quality Screen,0.14365807450495546,-0.09232974945771899,0.07537358985372912,0.04346679326897716,2.627675971912999,0.035923405602152236,0.03518674282549083,248.77,257.52340601269736,291936635.0,1,Fails Quality Screen / DCF: fair,2026-05-31
MAR,Marriott International,Consumer Cyclical,69.2,Attractive Quality,0.24716680476457184,0.0802476100443279,0.1994195371572596,0.1580615596120064,3.482923781757601,0.09959520354387841,-0.6395395236081931,375.6,135.38895493276266,263688623.0,2,Attractive Quality / DCF: overvalued,2026-05-31
MLM,"Martin Marietta Materials, Inc.",Basic Materials,61.1,Neutral — Monitor,0.07396634991663763,-0.0005954960264881182,0.3071544715447154,0.23658536585365852,2.6937410415671286,0.15902439024390244,-0.48271511842563336,581.64,300.8735785189146,60045900.0,1,Neutral — Monitor / DCF: overvalued,2026-05-31
MAS,Masco Corporation,Industrials,73.8,Attractive Quality,0.39294082862422186,-0.04492168924034623,0.3542713567839196,0.16569690558053424,1.8554913294797688,0.11451996826236445,-0.29816022996277797,70.25,49.30424384511485,201734437.0,0,Attractive Quality / DCF: overvalued,2026-05-31
MTCH,"Match Group, Inc.",Communication Services,76.0,Attractive Quality,0.2757373120425251,0.030262236990793667,0.7280411746167481,0.2612634158609336,3.0654160759306563,0.29353518026082265,2.629450281808234,36.13,131.1320386817315,233266526.0,2,Attractive Quality / DCF: undervalued,2026-05-31
MKC,"McCormick & Company, Incorporat",Consumer Defensive,64.2,Neutral — Monitor,0.08926630330425608,0.02507523864563521,0.3789599871350672,0.1596275017177609,3.034763148079075,0.10824086662865663,1.231219866201565,47.37,105.69288506196813,253986983.0,0,Neutral — Monitor / DCF: undervalued,2026-05-31
MCD,MCD,Unknown,74.7,Attractive Quality,0.18919912115111046,0.050637859467043134,0.5740747628789288,0.4610005579319323,3.6817005041558795,0.26728659103589364,,0,,0,0,Attractive Quality / DCF: unknown,2026-05-31
MCK,McKesson Corporation,Healthcare,72.0,Attractive Quality,2.126013500231023,0.13391523079521161,0.036065736311132045,0.015997818704607987,0.6463703497282988,0.013410009171355625,1.5847627537386484,742.44,1919.0312588857223,120204051.0,1,Attractive Quality / DCF: undervalued,2026-05-31
MDT,Medtronic plc.,Healthcare,58.7,Neutral — Monitor,0.06840316591835072,0.019104996811027286,0.6531591973044697,0.19500849807675105,2.8528965068344543,0.15460536124280647,0.040402413989109515,73.81,76.79210217653618,1283884964.0,0,Neutral — Monitor / DCF: fair,2026-05-31
MRK,"Merck & Company, Inc.",Healthcare,82.2,Elite Compounder,0.22150704875142246,0.03122213027882159,0.7480118749134762,0.340050145360016,1.2304153987686646,0.19012167171709404,0.2590595084776487,118.72,149.47554484646645,2469824415.0,0,Elite Compounder / DCF: undervalued,2026-05-31
META,"Meta Platforms, Inc.",Communication Services,49.0,Fails Quality Screen,0.2674945712738636,0.19893831442939258,0.8199944269179861,0.41437855159579234,0.4542866061884536,0.2294368201586338,0.4294457083719916,632.51,904.1387050023684,2196045588.0,3,Fails Quality Screen / DCF: undervalued,2026-05-31
MTD,"Mettler-Toledo International, I",Healthcare,76.7,Attractive Quality,0.44542949434358176,0.008991856613079108,0.5937429449987446,0.2777891609847906,1.6775759955077656,0.21077096432817513,-0.6486490202093855,1180.58,414.7979397212036,20207601.0,0,Attractive Quality / DCF: overvalued,2026-05-31
